Sl_no,Type_of_course_Aggregate,Type_of_fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Cement_O.P.C_(Kg/m3),W/C_Ratio,Water_Content_(Kg/m3),7_day_str
0,Crushed,Natural,40,365,0.52,225,21.8
1,Crushed,Natural,40,365,0.52,225,26.3
2,Crushed,Natural,20,350,0.53,185,32.7
3,Natural,Natural,20,340,0.49,165,30.3
4,Natural,Natural,20,325,0.51,165,27
5,Natural,Natural,20,325,0.51,165,27
6,Crushed,Natural,20,340,0.56,190,31.8
7,Crushed,Natural,20,340,0.56,190,31.8
8,Crushed,Natural,20,370,0.5,185,37.8
9,Crushed,Natural,20,360,0.53,190,28.2
10,Crushed,Natural,20,330,0.5,205,33.2
11,Crushed,Natural,20,330,0.5,165,33.2
12,Crushed,Natural,20,350,0.54,190,31
13,Crushed,Natural,20,350,0.54,190,31
14,Crushed,Natural,20,345,0.55,190,33.9
15,Crushed,Natural,20,340,0.53,180,36.5
16,Crushed,Natural,20,340,0.53,180,36.5
17,Crushed,Natural,20,350,0.54,190,30.9
18,Natural,Natural,20,350,0.51,180,30.4
19,Natural,Natural,20,350,0.51,180,30.4
20,Crushed,Natural,20,350,0.57,200,19
21,Crushed,Natural,20,350,0.53,185,32.8
22,Crushed,Natural,20,350,0.5,180,33.1
23,Crushed,Natural,20,350,0.5,180,33.1
24,Crushed,Natural,20,380,0.5,190,29.1
25,Crushed,Natural,20,380,0.5,290,29.1
26,Crushed,Natural,20,380,0.5,190,29.1
27,Crushed,Natural,20,350,0.54,190,25.8
28,Crushed,Natural,20,350,0.54,190,25.8
29,Crushed,Natural,20,400,0.45,180,36.3
30,Crushed,Natural,20,400,0.45,180,36.3
31,Crushed,Natural,20,400,0.45,180,36.3
32,Crushed,Natural,20,350,0.53,185,28.5
33,Crushed,Natural,20,360,0.53,190,28.2
34,Crushed,Natural,20,350,0.6,210,28.3
35,Crushed,Natural,20,350,0.6,210,28.3
36,Crushed,Natural,20,350,0.6,210,27.8
37,Crushed,Natural,20,350,0.6,210,27.8
38,Crushed,Crushed,20,380,0.55,210,29.4
39,Crushed,Crushed,20,380,0.55,210,29.4
40,Natural,Natural,40,375,0.48,180,35.9
41,Natural,Natural,40,375,0.48,180,35.9
42,Natural,Natural,40,375,0.48,180,35.9
43,Crushed,Natural,20,365,0.53,195,30.2
44,Crushed,Natural,20,365,0.53,195,31.3
45,Crushed,Natural,40,365,0.53,195,31.3
46,Crushed,Natural,40,365,0.53,195,30.2
47,Crushed,Natural,20,400,0.45,180,33.9
48,Natural,Natural,20,350,0.5,175,29.8
49,Natural,Natural,20,350,0.5,175,29.8
50,Crushed,Crushed,40,340,0.56,190,36.7
51,Crushed,Crushed,40,340,0.56,190,32.5
52,Crushed,Crushed,40,340,0.56,190,36.7
53,Crushed,Crushed,40,340,0.56,190,32.5
54,Natural,Natural,20,380,0.5,190,25
55,Natural,Natural,20,380,0.5,190,25
56,Crushed,Natural,20,350,0.4,190,30.5
57,Natural,Natural,20,340,0.49,165,30.3
58,Crushed,Natural,20,365,0.47,170,32.8
59,Crushed,Natural,20,365,0.47,170,39.2
60,Crushed,Natural,20,365,0.47,170,39.8
61,Crushed,Natural,20,365,0.47,170,32.8
62,Natural,Natural,20,350,0.47,165,33.1
63,Natural,Natural,20,350,0.47,165,33.1
64,Natural,Natural,20,350,0.49,170,35.9
65,Crushed,Natural,20,350,0.56,195,26.3
66,Crushed,Natural,20,350,0.56,195,26.3
67,Crushed,Natural,20,350,0.5,175,32.8
68,Crushed,Natural,20,350,0.54,190,33.3
69,Crushed,Natural,20,350,0.5,175,32.8
70,Crushed,Natural,20,350,0.54,190,33.3
71,Natural,Natural,20,360,0.5,180,24.8
72,Natural,Natural,20,350,0.49,170,27.3
73,Natural,Natural,20,330,0.48,160,30.8
74,Natural,Natural,20,330,0.48,160,30.8
75,Crushed,Natural,20,350,0.53,185,35.2
76,Crushed,Natural,20,350,0.53,185,35.2
77,Natural,Natural,40,350,0.5,180,19.4
78,Natural,Natural,40,350,0.5,175,25.1
79,Natural,Natural,40,350,0.46,100,32.9
80,Natural,Natural,40,350,0.46,160,32.9
81,Natural,Natural,40,350,0.5,175,27.2
82,Natural,Natural,40,350,0.5,175,27.2
83,Natural,Natural,20,360,0.51,185,31.8
84,Natural,Natural,20,375,0.51,190,23.7
85,Natural,Natural,20,375,0.51,190,23.7
86,Crushed,Natural,40,375,0.52,195,27.8
87,Natural,Natural,20,330,0.5,165,33.1
88,Natural,Natural,20,340,0.5,170,31.4
89,Natural,Natural,20,340,0.5,170,31.4
90,Natural,Natural,20,350,0.53,185,26.3
91,Crushed,Natural,20,350,0.56,195,27.6
92,Natural,Natural,20,350,0.53,185,26.3
93,Crushed,Natural,20,350,0.56,195,27.6
94,Crushed,Natural,20,350,0.53,185,34.3
95,Crushed,Natural,20,350,0.53,185,34.3
96,Natural,Natural,40,350,0.48,168,24.7
97,Natural,Natural,20,310,0.51,160,27.3
98,Natural,Natural,20,310,0.51,160,27.3
99,Natural,Natural,20,350,0.5,175,27.6
100,Natural,Natural,20,350,0.5,175,27.6
101,Crushed,Natural,20,350,0.54,190,26.7
102,Natural,Natural,40,350,0.5,175,32.4
103,Natural,Natural,40,350,0.5,175,32.4
104,Natural,Natural,40,350,0.5,175,32.4
105,Natural,Natural,40,350,0.48,168,24.7
106,Crushed,Natural,20,350,0.54,190,31.6
107,Crushed,Natural,20,350,0.54,190,31.6
108,Natural,Natural,40,360,0.49,175,28
109,Crushed,Natural,20,365,0.53,210,26.5
110,Crushed,Natural,20,365,0.53,210,26.5
111,Natural,Natural,40,250,0.5,175,27.8
112,Natural,Natural,40,340,0.5,170,32.4
113,Natural,Natural,40,350,0.5,175,27.8
114,Natural,Natural,40,350,0.5,175,27.8
115,Natural,Natural,40,350,0.5,175,27.5
116,Natural,Natural,40,350,0.5,175,27.5
117,Natural,Natural,40,350,0.5,175,24.1
118,Natural,Natural,40,350,0.5,175,24.1
119,Crushed,Natural,20,400,0.46,185,37.4
120,Crushed,Natural,20,350,0.54,190,20.5
121,Natural,Natural,20,350,0.54,190,20.5
122,Crushed,Natural,20,350,0.54,190,20.5
123,Natural,Natural,20,350,0.49,170,33.9
124,Natural,Natural,20,350,0.49,170,33.9
125,Crushed,Natural,20,380,0.5,190,31.5
126,Crushed,Natural,40,380,0.5,190,31.5
127,Natural,Natural,40,325,0.49,160,25.6
128,Natural,Natural,40,325,0.49,160,25.6
129,Natural,Natural,20,350,0.47,165,31.2
130,Natural,Natural,20,350,0.47,165,31.2
131,Natural,Natural,40,360,0.51,185,24.9
132,Natural,Natural,40,360,0.51,185,24.9
133,Natural,Natural,20,335,0.5,165,24.7
134,Natural,Natural,20,335,0.5,165,24.7
135,Crushed,Natural,20,350,0.51,180,21.8
136,Crushed,Natural,20,350,0.51,180,21.8
137,Crushed,Natural,20,350,0.53,185,33.5
138,Crushed,Natural,20,350,0.53,185,34.6
139,Crushed,Natural,20,350,0.54,190,25.8
140,Crushed,Natural,20,345,0.55,190,33.9
141,Crushed,Natural,20,350,0.5,175,32.7
142,Crushed,Natural,20,350,0.5,175,32.7
143,Crushed,Natural,20,350,0.5,175,32.7
144,Crushed,Natural,20,350,0.53,185,21.9
145,Crushed,Natural,20,350,0.53,185,21.9
146,Crushed,Natural,20,350,0.5,170,18.2
147,Crushed,Natural,20,350,0.54,170,18.2
148,Crushed,Natural,20,350,0.51,180,31.8
149,Crushed,Natural,20,350,0.51,180,31.8
150,Crushed,Natural,20,350,0.52,180,36.9
151,Crushed,Natural,20,350,0.52,180,36.9
152,Crushed,Natural,20,350,0.48,185,33.2
153,Crushed,Natural,20,350,0.53,185,33.2
154,Crushed,Natural,20,350,0.54,190,27.1
155,Crushed,Natural,20,350,0.54,190,27.1
156,Crushed,Natural,20,350,0.49,185,23.4
157,Crushed,Natural,20,350,0.53,185,32.4
158,Natural,Natural,20,350,0.51,180,26.4
159,Natural,Natural,20,350,0.51,180,28.6
160,Natural,Natural,20,350,0.51,180,27.1
161,Natural,Natural,20,350,0.51,180,27.1
162,Crushed,Natural,40,350,0.54,190,21.9
163,Crushed,Natural,40,350,0.54,190,21.9
164,Natural,Natural,40,350,0.51,180,26.4
165,Natural,Natural,40,350,0.51,180,28.6
166,Natural,Natural,40,350,0.51,180,26.4
167,Natural,Natural,40,350,0.51,180,28.6
168,Natural,Natural,40,300,0.53,160,28.3
169,Natural,Natural,40,300,0.53,160,28.3
170,Natural,Natural,20,325,0.49,160,27.6
171,Crushed,Natural,20,350,0.51,180,35.5
172,Crushed,Natural,20,350,0.51,180,35.5
173,Crushed,Natural,20,350,0.54,190,24.8
174,Crushed,Natural,20,350,0.54,290,28.4
175,Crushed,Natural,20,350,0.54,190,28.4
176,Crushed,Natural,20,350,0.51,180,28.6
177,Crushed,Natural,20,350,0.51,180,28.6
178,Crushed,Natural,20,350,0.54,190,24.8
179,Natural,Natural,40,350,0.51,180,23.7
180,Natural,Natural,40,350,0.5,175,37.7
181,Natural,Natural,40,350,0.5,175,27.7
182,Natural,Natural,40,350,0.5,175,27.9
183,Natural,Natural,40,350,0.5,175,27.9
184,Crushed,Natural,20,375,0.55,205,29.1
185,Crushed,Natural,20,375,0.55,205,29.1
186,Natural,Natural,40,375,0.45,170,40.2
187,Natural,Natural,40,375,0.45,170,45.8
188,Natural,Natural,40,360,0.45,162,28.7
189,Natural,Natural,40,360,0.45,162,28.7
190,Natural,Natural,20,250,0.5,175,30
191,Natural,Natural,40,340,0.49,165,34.2
192,Natural,Natural,40,340,0.49,165,28.4
193,Natural,Natural,40,340,0.49,165,28.4
194,Natural,Natural,20,350,0.53,185,26.9
195,Natural,Natural,20,350,0.53,185,26.9
196,Natural,Natural,20,350,0.5,175,30
197,Natural,Natural,40,350,0.5,175,18.3
198,Natural,Natural,40,350,0.5,175,18.3
